m,Objective Value,Selected Portfolio Stocks,Selected Portfolio Weights,In-Sample Tracking Error,Out-of-Sample Tracking Error
5,0.6546165504485314,"['AMZN', 'AAPL', 'MSFT', 'TSLA', 'TXN']","{'AMZN': 0.1299048109561683, 'AAPL': 0.2882989864253069, 'MSFT': 0.2761652558058142, 'TSLA': 0.06828108669632539, 'TXN': 0.2373498601163852}",0.6546165504485315,0.8538291939656061
10,0.36464272485656446,"['GOOGL', 'AMZN', 'AAPL', 'CTAS', 'CMCSA', 'MSFT', 'NVDA', 'ROST', 'TSLA', 'TXN']","{'GOOGL': 0.12110936625604053, 'AMZN': 0.08770665733068442, 'AAPL': 0.15560468727738386, 'CTAS': 0.0912633213180335, 'CMCSA': 0.07371543123020309, 'MSFT': 0.15521422269768062, 'NVDA': 0.0654130523428861, 'ROST': 0.07166005256108565, 'TSLA': 0.05129264117884583, 'TXN': 0.12702056780715648}",0.3646427248565648,0.5691908685876796
20,0.20870067623826838,"['AMD', 'GOOGL', 'AMZN', 'AMGN', 'AAPL', 'ADP', 'AVGO', 'CTAS', 'CSCO', 'ISRG', 'KLAC', 'MELI', 'META', 'MSFT', 'NFLX', 'NVDA', 'PEP', 'ROST', 'TSLA', 'TXN']","{'AMD': 0.025660396545888916, 'GOOGL': 0.06830192630652493, 'AMZN': 0.060746127983933265, 'AMGN': 0.031247564507964974, 'AAPL': 0.13979990696963973, 'ADP': 0.04564755706956271, 'AVGO': 0.026294120500755618, 'CTAS': 0.03653058974063651, 'CSCO': 0.035299100248570275, 'ISRG': 0.03131167361413319, 'KLAC': 0.03464461836371289, 'MELI': 0.02327650797909192, 'META': 0.03389864286187262, 'MSFT': 0.1329749872555227, 'NFLX': 0.016694033171005814, 'NVDA': 0.04286584461843679, 'PEP': 0.04922336707324611, 'ROST': 0.04493751233074359, 'TSLA': 0.05326510108226508, 'TXN': 0.06738042177649256}",0.20870067623826902,0.4092223274294833
30,0.15090550029699765,"['ADBE', 'AMD', 'GOOGL', 'AMZN', 'AEP', 'ADI', 'AAPL', 'AMAT', 'ADP', 'BKR', 'AVGO', 'CSCO', 'CMCSA', 'COST', 'EA', 'ISRG', 'LULU', 'MAR', 'META', 'MSFT', 'NFLX', 'NVDA', 'ODFL', 'PYPL', 'PDD', 'PEP', 'ROST', 'TMUS', 'TSLA', 'VRTX']","{'ADBE': 0.022687987853132134, 'AMD': 0.01921447072284538, 'GOOGL': 0.06650858180155297, 'AMZN': 0.07243082636444896, 'AEP': 0.020590770383221556, 'ADI': 0.04102688804881237, 'AAPL': 0.10633083260961197, 'AMAT': 0.038534714356061435, 'ADP': 0.038038952471941126, 'BKR': 0.014048334291938528, 'AVGO': 0.029955498636926897, 'CSCO': 0.024858436186894078, 'CMCSA': 0.027621829911450024, 'COST': 0.014952276641191972, 'EA': 0.012768640839730885, 'ISRG': 0.023036015568999025, 'LULU': 0.01031431005131121, 'MAR': 0.018451910730148444, 'META': 0.029565558531514578, 'MSFT': 0.13234032587394584, 'NFLX': 0.025441251770690104, 'NVDA': 0.04732854182327479, 'ODFL': 0.005443551816162268, 'PYPL': 0.014706709997707295, 'PDD': 0.005265705761674084, 'PEP': 0.024407425362305852, 'ROST': 0.020701148510282066, 'TMUS': 0.027071632542929526, 'TSLA': 0.043766296606441886, 'VRTX': 0.022590573932852794}",0.15090550029699812,0.32947136246958575
40,0.10886975011855123,"['ADBE', 'AMD', 'GOOGL', 'AMZN', 'AMGN', 'ADI', 'AAPL', 'AMAT', 'ASML', 'AZN', 'ADP', 'BKR', 'AVGO', 'CHTR', 'CTAS', 'CSCO', 'CMCSA', 'COST', 'DDOG', 'EXC', 'HON', 'ILMN', 'INTC', 'ISRG', 'MAR', 'MELI', 'META', 'MU', 'MSFT', 'NFLX', 'NVDA', 'NXPI', 'PANW', 'PYPL', 'PEP', 'ROST', 'TMUS', 'TSLA', 'TXN', 'VRTX']","{'ADBE': 0.023138260122194065, 'AMD': 0.014467208421218281, 'GOOGL': 0.07195680878029415, 'AMZN': 0.060881190656170835, 'AMGN': 0.008163509392314758, 'ADI': 0.020059461773648587, 'AAPL': 0.10543896730125497, 'AMAT': 0.01857941749005382, 'ASML': 0.015566267797342622, 'AZN': 0.006930768385692527, 'ADP': 0.021471301955654096, 'BKR': 0.013729182368688121, 'AVGO': 0.024885579254450098, 'CHTR': 0.004997268906993761, 'CTAS': 0.01047855053775475, 'CSCO': 0.018325079168918453, 'CMCSA': 0.0183050895355533, 'COST': 0.02569522415209767, 'DDOG': 0.004629798402859336, 'EXC': 0.011311183836295043, 'HON': 0.018646565080064546, 'ILMN': 0.009397281316357399, 'INTC': 0.007574267427900317, 'ISRG': 0.016563875842310567, 'MAR': 0.01857988720651236, 'MELI': 0.00583420869582653, 'META': 0.039708067711377255, 'MU': 0.010614699974671248, 'MSFT': 0.12103592959493936, 'NFLX': 0.02061416925291146, 'NVDA': 0.04803945667110857, 'NXPI': 0.016824168275576735, 'PANW': 0.010656849803951544, 'PYPL': 0.010427309683383016, 'PEP': 0.038948719381807294, 'ROST': 0.01860520597417169, 'TMUS': 0.019334232616527395, 'TSLA': 0.03882521390827789, 'TXN': 0.021576808766294225, 'VRTX': 0.009182964576581364}",0.10886975011855149,0.2858234697717158
50,0.09694326479983893,"['ADBE', 'AMD', 'GOOGL', 'AMZN', 'AMGN', 'ADI', 'AAPL', 'AMAT', 'ASML', 'AZN', 'ADSK', 'ADP', 'BKR', 'AVGO', 'CDNS', 'CSCO', 'CMCSA', 'CSGP', 'COST', 'DDOG', 'EA', 'EXC', 'GILD', 'GFS', 'HON', 'ILMN', 'INTC', 'INTU', 'ISRG', 'LULU', 'MAR', 'MELI', 'META', 'MU', 'MSFT', 'MNST', 'NFLX', 'NVDA', 'NXPI', 'PANW', 'PYPL', 'PDD', 'PEP', 'QCOM', 'ROST', 'TMUS', 'TSLA', 'TXN', 'TTD', 'VRTX']","{'ADBE': 0.01567394908016061, 'AMD': 0.01637383125069706, 'GOOGL': 0.06899848418560364, 'AMZN': 0.06006660192712283, 'AMGN': 0.01335900603118911, 'ADI': 0.012699198791022185, 'AAPL': 0.11070633896518535, 'AMAT': 0.014686159713391544, 'ASML': 0.015343983925937362, 'AZN': 0.0050053771191184504, 'ADSK': 0.004416568744992843, 'ADP': 0.01805565706365338, 'BKR': 0.014553958095469336, 'AVGO': 0.026672638038292684, 'CDNS': 0.008223281979537303, 'CSCO': 0.019502728869076343, 'CMCSA': 0.022583388841810464, 'CSGP': 0.009237511494622945, 'COST': 0.022365149145050597, 'DDOG': 0.004886230122662378, 'EA': 0.007847980365428156, 'EXC': 0.007197675222818932, 'GILD': 0.015343264330717433, 'GFS': 0.003074248824888797, 'HON': 0.013589100150162844, 'ILMN': 0.007435100637208407, 'INTC': 0.0058716779499608344, 'INTU': 0.008138272261291867, 'ISRG': 0.011828926950593573, 'LULU': 0.007296787714317082, 'MAR': 0.014601991663569316, 'MELI': 0.009217464826944775, 'META': 0.037902793844469, 'MU': 0.007877960310599902, 'MSFT': 0.11737413817784915, 'MNST': 0.009210008308969465, 'NFLX': 0.016054962360059412, 'NVDA': 0.046586987017066456, 'NXPI': 0.011283656566978571, 'PANW': 0.009714824854471877, 'PYPL': 0.007740061011948038, 'PDD': 0.004019558091709223, 'PEP': 0.03186462666326518, 'QCOM': 0.012833428355449516, 'ROST': 0.009855708397836472, 'TMUS': 0.019174090876682405, 'TSLA': 0.036137119083204904, 'TXN': 0.017393296877531977, 'TTD': 0.001426289676048831, 'VRTX': 0.008697955243361448}",0.09694351323134572,0.29544348077899196
60,0.09114203319711131,"['ADBE', 'AMD', 'GOOGL', 'AMZN', 'AMGN', 'ADI', 'ANSS', 'AAPL', 'AMAT', 'ASML', 'AZN', 'ADSK', 'ADP', 'BKR', 'AVGO', 'CDNS', 'CDW', 'CHTR', 'CSCO', 'CMCSA', 'CSGP', 'COST', 'CRWD', 'DDOG', 'DXCM', 'EA', 'EXC', 'GILD', 'GFS', 'HON', 'ILMN', 'INTC', 'INTU', 'ISRG', 'KLAC', 'LRCX', 'LULU', 'MAR', 'MELI', 'META', 'MU', 'MSFT', 'MRNA', 'MNST', 'NFLX', 'NVDA', 'NXPI', 'PANW', 'PYPL', 'PDD', 'PEP', 'QCOM', 'REGN', 'ROST', 'TMUS', 'TSLA', 'TXN', 'VRTX', 'WBD', 'WDAY']","{'ADBE': 0.01443708895972046, 'AMD': 0.01581009133129733, 'GOOGL': 0.0705163645699748, 'AMZN': 0.05990187278226038, 'AMGN': 0.011002572266100423, 'ADI': 0.01437607149334834, 'ANSS': 0.0035951258664299658, 'AAPL': 0.11481446175654594, 'AMAT': 0.01085272328800097, 'ASML': 0.012447357710246779, 'AZN': 0.0052121171893865555, 'ADSK': 0.004810861878351196, 'ADP': 0.018033175982138754, 'BKR': 0.011272794021386038, 'AVGO': 0.02726075108569156, 'CDNS': 0.00538232234197309, 'CDW': 0.003748428844798515, 'CHTR': 0.004827240334616105, 'CSCO': 0.016434125054915573, 'CMCSA': 0.01866833991778547, 'CSGP': 0.00793552799115614, 'COST': 0.020169698547288104, 'CRWD': 0.002932332409553043, 'DDOG': 0.003418100377751169, 'DXCM': 0.002055087196191386, 'EA': 0.010428972060118637, 'EXC': 0.008708838044762586, 'GILD': 0.016453076444996162, 'GFS': 0.003960508545607966, 'HON': 0.01367747789335851, 'ILMN': 0.006883098070320894, 'INTC': 0.005140533297257593, 'INTU': 0.007126072829948243, 'ISRG': 0.014194755044580874, 'KLAC': 0.007681637025126674, 'LRCX': 0.003962807457794532, 'LULU': 0.0069789567643409565, 'MAR': 0.013994078623494978, 'MELI': 0.007745884179341789, 'META': 0.03584289274788875, 'MU': 0.00598497273647638, 'MSFT': 0.11514037552525673, 'MRNA': 0.002034485910502543, 'MNST': 0.004001639767301153, 'NFLX': 0.014445865777998316, 'NVDA': 0.04682297041713266, 'NXPI': 0.009722175389436535, 'PANW': 0.008489006517016623, 'PYPL': 0.008041804701027557, 'PDD': 0.0031603894193225524, 'PEP': 0.039586725196777785, 'QCOM': 0.009236459655976926, 'REGN': 0.0027612164230506934, 'ROST': 0.010231235124438028, 'TMUS': 0.015815109842221075, 'TSLA': 0.036604059739342575, 'TXN': 0.011746187066633244, 'VRTX': 0.006655253943452263, 'WBD': 0.0025038194893369386, 'WDAY': 0.004322025131452111}",0.09114203319711195,0.3019782355848586
70,0.08871301272864578,"['ADBE', 'AMD', 'GOOGL', 'AMZN', 'AMGN', 'ADI', 'ANSS', 'AAPL', 'AMAT', 'ARM', 'ASML', 'AZN', 'ADSK', 'ADP', 'BKR', 'BIIB', 'AVGO', 'CDNS', 'CDW', 'CHTR', 'CTAS', 'CSCO', 'CMCSA', 'CEG', 'CSGP', 'COST', 'CRWD', 'DDOG', 'DXCM', 'DLTR', 'EA', 'EXC', 'FAST', 'GEHC', 'GILD', 'GFS', 'HON', 'ILMN', 'INTC', 'INTU', 'ISRG', 'KDP', 'KLAC', 'LRCX', 'LULU', 'MAR', 'MELI', 'META', 'MU', 'MSFT', 'MRNA', 'MDLZ', 'NFLX', 'NVDA', 'NXPI', 'PANW', 'PYPL', 'PDD', 'PEP', 'QCOM', 'ROST', 'SBUX', 'SNPS', 'TMUS', 'TSLA', 'TXN', 'TTD', 'VRTX', 'WBD', 'WDAY']","{'ADBE': 0.0163022948861629, 'AMD': 0.015571967776641498, 'GOOGL': 0.07011836807847077, 'AMZN': 0.05959220616850208, 'AMGN': 0.01071020250553628, 'ADI': 0.009061828716295923, 'ANSS': 0.0036840752057680608, 'AAPL': 0.11525527397852145, 'AMAT': 0.0057843115209517725, 'ASML': 0.01126989728363508, 'AZN': 0.00534448776693036, 'ADSK': 0.005485793276837483, 'ADP': 0.015588953367179446, 'BKR': 0.008690845439403383, 'BIIB': 0.004497791485441033, 'AVGO': 0.027752232354123902, 'CDNS': 0.005036081332814478, 'CDW': 0.0025448802178326254, 'CHTR': 0.003472135287673493, 'CTAS': 0.004462021506182303, 'CSCO': 0.015942426247082208, 'CMCSA': 0.01852900973238201, 'CEG': 0.003989618260662062, 'CSGP': 0.0056968258835012565, 'COST': 0.02079176050766995, 'CRWD': 0.001759487583847079, 'DDOG': 0.0030199356013473648, 'DXCM': 0.0024916409995213475, 'DLTR': 0.001985128499502501, 'EA': 0.010492065271343845, 'EXC': 0.003529470451847269, 'FAST': 0.0031162832793959834, 'GEHC': 0.003360487941852861, 'GILD': 0.008865994740584363, 'GFS': 0.004273078747372661, 'HON': 0.01435478641946295, 'ILMN': 0.006895386673164209, 'INTC': 0.006017773411370256, 'INTU': 0.008880041097150692, 'ISRG': 0.013398279901144622, 'KDP': 0.0061891952706067165, 'KLAC': 0.007315276387091605, 'LRCX': 0.006666067089422186, 'LULU': 0.005386463086649989, 'MAR': 0.008662223398867689, 'MELI': 0.0077352857699000965, 'META': 0.036064849316260986, 'MU': 0.006755695998971988, 'MSFT': 0.11354634566750751, 'MRNA': 0.002677925709463762, 'MDLZ': 0.003350552736153971, 'NFLX': 0.013565198999740046, 'NVDA': 0.0444996291934578, 'NXPI': 0.013683111248551245, 'PANW': 0.007189603187787599, 'PYPL': 0.007835432980642125, 'PDD': 0.003934471739395857, 'PEP': 0.03329243445429812, 'QCOM': 0.007891080188176431, 'ROST': 0.009426766958319132, 'SBUX': 0.005237006086491911, 'SNPS': 0.0059548264418595, 'TMUS': 0.019776519660028302, 'TSLA': 0.03611981606950398, 'TXN': 0.010679072849675097, 'TTD': 0.0020448830555084723, 'VRTX': 0.008488110537725206, 'WBD': 0.002857067806340677, 'WDAY': 0.004708009171886394}",0.0892837645444254,0.2891867116102851
80,0.08811316476446641,"['ADBE', 'AMD', 'GOOGL', 'AMZN', 'AEP', 'AMGN', 'ADI', 'ANSS', 'AAPL', 'AMAT', 'ARM', 'ASML', 'AZN', 'TEAM', 'ADSK', 'ADP', 'BKR', 'BIIB', 'BKNG', 'AVGO', 'CDNS', 'CDW', 'CHTR', 'CTAS', 'CSCO', 'CCEP', 'CMCSA', 'CEG', 'CSGP', 'COST', 'CRWD', 'CSX', 'DDOG', 'DXCM', 'DLTR', 'EA', 'EXC', 'FAST', 'FTNT', 'GEHC', 'GILD', 'GFS', 'HON', 'ILMN', 'INTC', 'INTU', 'ISRG', 'KDP', 'KLAC', 'LRCX', 'LULU', 'MAR', 'MELI', 'META', 'MU', 'MSFT', 'MRNA', 'MDLZ', 'MNST', 'NFLX', 'NVDA', 'NXPI', 'ODFL', 'PANW', 'PYPL', 'PDD', 'PEP', 'QCOM', 'REGN', 'ROP', 'ROST', 'SBUX', 'SNPS', 'TMUS', 'TSLA', 'TXN', 'TTD', 'VRTX', 'WBD', 'WDAY']","{'ADBE': 0.016916158438283525, 'AMD': 0.01569116186261958, 'GOOGL': 0.0701009701785076, 'AMZN': 0.058187187484336045, 'AEP': 0.0027358650893375388, 'AMGN': 0.011267628877110173, 'ADI': 0.010079807161956167, 'ANSS': 0.002655241139716055, 'AAPL': 0.11410635891337571, 'AMAT': 0.005910294186059468, 'ASML': 0.010302547593064452, 'AZN': 0.00430675398072467, 'TEAM': 0.0013762899355322866, 'ADSK': 0.003960462291088792, 'ADP': 0.015867390631426483, 'BKR': 0.008478296892705307, 'BIIB': 0.0033077128205772186, 'AVGO': 0.02610253767948119, 'CDNS': 0.004864453306165493, 'CDW': 0.0015849278533480874, 'CHTR': 0.0036062930987221424, 'CTAS': 0.006788145531268679, 'CSCO': 0.016962460196985003, 'CCEP': 0.0023674553495252443, 'CMCSA': 0.018057322839418834, 'CEG': 0.002775084819592194, 'CSGP': 0.004623085647588396, 'COST': 0.02113481785511424, 'CRWD': 0.0022165193736179106, 'CSX': 0.0014324394717918339, 'DDOG': 0.0029182960645030907, 'DXCM': 0.0030540360509397043, 'DLTR': 0.001384971183328185, 'EA': 0.011024113775037557, 'EXC': 0.004047080993976613, 'FAST': 0.001980661029396123, 'FTNT': 0.002692365740238661, 'GEHC': 0.0026217511841396144, 'GILD': 0.009106836256995503, 'GFS': 0.004104340806512165, 'HON': 0.014905208708336412, 'ILMN': 0.006418525780690219, 'INTC': 0.005728457614560869, 'INTU': 0.006591943032939718, 'ISRG': 0.012182665660235382, 'KDP': 0.006847587847455814, 'KLAC': 0.009255288686757726, 'LRCX': 0.005141593024635547, 'LULU': 0.005797514000413278, 'MAR': 0.008293292550797172, 'MELI': 0.00808614716255962, 'META': 0.036992996627388294, 'MU': 0.00783682183452769, 'MSFT': 0.11246809854868349, 'MRNA': 0.003492950695728484, 'MDLZ': 0.002952529630897016, 'MNST': 0.0012458584020632575, 'NFLX': 0.013168163298663332, 'NVDA': 0.04620643947895418, 'NXPI': 0.011748150450883788, 'ODFL': 0.0012812808811127582, 'PANW': 0.0059766448595389, 'PYPL': 0.007384606146104487, 'PDD': 0.003766873363932443, 'PEP': 0.028927567701106372, 'QCOM': 0.011320404466850762, 'ROP': 0.001404442119234238, 'ROST': 0.01026215457743535, 'SBUX': 0.0031462575268277875, 'SNPS': 0.006901072390611986, 'TMUS': 0.017006686146691728, 'TSLA': 0.03758049844886504, 'TXN': 0.008463767788885255, 'TTD': 0.0017632425554071603, 'VRTX': 0.008778884457923693, 'WBD': 0.0026212456580140013, 'WDAY': 0.005000060388389251}",0.08981632104181758,0.2803141179947116
90,0.08811316476446635,"['ADBE', 'AMD', 'ABNB', 'GOOGL', 'AMZN', 'AEP', 'AMGN', 'ADI', 'ANSS', 'AAPL', 'AMAT', 'ARM', 'ASML', 'AZN', 'TEAM', 'ADSK', 'ADP', 'BKR', 'BIIB', 'BKNG', 'AVGO', 'CDNS', 'CDW', 'CHTR', 'CTAS', 'CSCO', 'CCEP', 'CTSH', 'CMCSA', 'CEG', 'CPRT', 'CSGP', 'COST', 'CRWD', 'CSX', 'DDOG', 'DXCM', 'FANG', 'DLTR', 'DASH', 'EA', 'EXC', 'FAST', 'FTNT', 'GEHC', 'GILD', 'GFS', 'HON', 'IDXX', 'ILMN', 'INTC', 'INTU', 'ISRG', 'KDP', 'KLAC', 'KHC', 'LRCX', 'LIN', 'LULU', 'MAR', 'MELI', 'META', 'MU', 'MSFT', 'MRNA', 'MDLZ', 'MNST', 'NFLX', 'NVDA', 'NXPI', 'ODFL', 'PANW', 'PYPL', 'PDD', 'PEP', 'QCOM', 'REGN', 'ROP', 'ROST', 'SBUX', 'SNPS', 'TTWO', 'TMUS', 'TSLA', 'TXN', 'TTD', 'VRTX', 'WBD', 'WDAY', 'ZS']","{'ADBE': 0.01691615843828371, 'AMD': 0.01569116186261966, 'GOOGL': 0.07010097017850737, 'AMZN': 0.05818718748433619, 'AEP': 0.0027358650893373137, 'AMGN': 0.01126762887711011, 'ADI': 0.010079807161956186, 'ANSS': 0.0026552411397162525, 'AAPL': 0.11410635891337566, 'AMAT': 0.005910294186059553, 'ASML': 0.010302547593064228, 'AZN': 0.004306753980724663, 'TEAM': 0.001376289935532521, 'ADSK': 0.003960462291088559, 'ADP': 0.015867390631426802, 'BKR': 0.008478296892705363, 'BIIB': 0.0033077128205773903, 'AVGO': 0.026102537679481085, 'CDNS': 0.004864453306164784, 'CDW': 0.0015849278533482218, 'CHTR': 0.0036062930987220162, 'CTAS': 0.006788145531268742, 'CSCO': 0.016962460196984806, 'CCEP': 0.002367455349524979, 'CMCSA': 0.018057322839419035, 'CEG': 0.0027750848195921807, 'CSGP': 0.004623085647587968, 'COST': 0.021134817855114243, 'CRWD': 0.0022165193736177957, 'CSX': 0.0014324394717919466, 'DDOG': 0.002918296064503173, 'DXCM': 0.0030540360509396024, 'DLTR': 0.0013849711833281667, 'EA': 0.01102411377503746, 'EXC': 0.004047080993976597, 'FAST': 0.0019806610293961685, 'FTNT': 0.0026923657402389755, 'GEHC': 0.002621751184139769, 'GILD': 0.009106836256995533, 'GFS': 0.0041043408065119915, 'HON': 0.014905208708336873, 'ILMN': 0.00641852578069036, 'INTC': 0.005728457614560985, 'INTU': 0.006591943032939627, 'ISRG': 0.012182665660235355, 'KDP': 0.00684758784745615, 'KLAC': 0.009255288686757731, 'LRCX': 0.005141593024635582, 'LULU': 0.0057975140004131905, 'MAR': 0.008293292550796949, 'MELI': 0.008086147162559494, 'META': 0.036992996627388315, 'MU': 0.007836821834527693, 'MSFT': 0.1124680985486833, 'MRNA': 0.003492950695728503, 'MDLZ': 0.002952529630896986, 'MNST': 0.0012458584020632786, 'NFLX': 0.013168163298663358, 'NVDA': 0.04620643947895425, 'NXPI': 0.011748150450883926, 'ODFL': 0.0012812808811124932, 'PANW': 0.00597664485953877, 'PYPL': 0.007384606146104382, 'PDD': 0.0037668733639324684, 'PEP': 0.028927567701105886, 'QCOM': 0.011320404466850361, 'ROP': 0.0014044421192345535, 'ROST': 0.010262154577435512, 'SBUX': 0.003146257526827684, 'SNPS': 0.006901072390612659, 'TMUS': 0.017006686146692762, 'TSLA': 0.037580498448865116, 'TXN': 0.008463767788885223, 'TTD': 0.0017632425554071852, 'VRTX': 0.008778884457923847, 'WBD': 0.002621245658014015, 'WDAY': 0.005000060388389198}",0.08981632104181722,0.28031411799471173
